order_id,branch_id,supplier_id,medication_id,order_date,quantity,unit_cost,total_cost,delivery_date
1,10,5,133,2023-08-02,437,262.45,114690.65,2023-08-15
2,9,1,1,2023-05-19,294,110.9,32604.6,2023-05-25
3,5,4,10,2024-10-06,156,152.27,23754.12,2024-10-13
4,10,6,15,2023-11-10,60,205.68,12340.8,2023-11-13
5,3,1,119,2024-11-28,121,226.39,27393.19,2024-12-11
6,2,5,165,2023-10-24,423,76.9,32528.7,2023-11-02
7,9,6,185,2023-02-24,108,80.32,8674.56,2023-03-09
8,3,7,75,2024-12-28,344,204.81,70454.64,2025-01-05
9,2,5,105,2024-07-25,304,63.81,19398.24,2024-08-04
10,8,3,171,2023-04-06,114,257.52,29357.28,2023-04-14
11,2,5,58,2023-03-13,90,27.2,2448.0,2023-03-25
12,4,4,149,2024-02-03,282,221.69,62516.58,2024-02-13
13,4,9,54,2024-01-19,239,192.1,45911.9,2024-01-28
14,3,10,139,2023-04-02,434,178.61,77516.74,2023-04-08
15,1,8,79,2024-06-23,371,200.84,74511.64,2024-07-07
16,9,10,10,2023-09-22,454,152.27,69130.58,2023-10-04
17,1,9,86,2023-04-21,100,241.42,24142.0,2023-04-26
18,3,10,179,2024-04-26,467,31.66,14785.22,2024-05-10
19,10,8,127,2024-01-17,230,212.34,48838.2,2024-01-21
20,2,7,65,2023-10-01,421,245.89,103519.69,2023-10-13
21,7,7,38,2024-09-15,296,287.41,85073.36,2024-09-23
22,8,4,195,2023-11-28,141,43.99,6202.59,2023-12-11
23,10,6,169,2024-08-24,165,136.73,22560.45,2024-08-30
24,1,6,156,2023-11-28,247,30.98,7652.06,2023-12-03
25,2,3,189,2024-10-23,413,92.28,38111.64,2024-10-29
26,6,2,145,2023-08-17,345,38.86,13406.7,2023-08-28
27,10,7,30,2024-04-18,222,243.21,53992.62,2024-04-27
28,1,2,153,2023-11-07,418,245.2,102493.6,2023-11-12
29,3,6,9,2024-10-17,79,123.34,9743.86,2024-10-31
30,4,3,162,2023-09-12,106,9.03,957.18,2023-09-21
31,5,9,200,2024-12-13,218,113.73,24793.14,2024-12-19
32,1,2,182,2024-01-20,135,126.56,17085.6,2024-02-01
33,1,4,155,2024-06-16,439,209.63,92027.57,2024-06-19
34,4,2,169,2024-04-13,240,136.73,32815.2,2024-04-16
35,10,7,9,2024-04-01,335,123.34,41318.9,2024-04-09
36,6,6,127,2024-09-16,274,212.34,58181.16,2024-09-19
37,7,8,54,2024-04-05,251,192.1,48217.1,2024-04-19
38,5,4,15,2023-05-28,165,205.68,33937.2,2023-06-02
39,5,1,101,2024-01-17,52,81.75,4251.0,2024-01-22
40,4,9,130,2024-07-23,479,250.63,120051.77,2024-08-03
41,4,6,147,2023-02-20,363,41.68,15129.84,2023-03-05
42,3,3,142,2024-01-11,88,5.79,509.52,2024-01-25
43,6,8,28,2023-10-07,333,258.59,86110.47,2023-10-16
44,3,3,196,2024-03-24,375,80.81,30303.75,2024-04-02
45,3,10,87,2023-07-27,148,267.97,39659.56,2023-08-04
46,8,5,89,2023-01-31,442,81.46,36005.32,2023-02-06
47,3,7,101,2024-02-01,415,81.75,33926.25,2024-02-13
48,10,4,36,2024-05-01,358,148.26,53077.08,2024-05-06
49,2,2,126,2023-01-23,313,168.27,52668.51,2023-02-05
50,7,2,4,2024-02-13,136,18.52,2518.72,2024-02-27
51,3,4,29,2024-08-23,471,68.2,32122.2,2024-09-01
52,10,10,98,2024-09-25,190,202.32,38440.8,2024-10-06
53,5,2,192,2023-10-31,469,188.16,88247.04,2023-11-13
