sale_id,branch_id,employee_id,medication_id,sale_date,sale_time,quantity,unit_price,total_amount,payment_method,customer_age_group
1,10,40,130,2024-08-10,17:49:00,1,321.64,321.64,Insurance,Senior
2,1,12,66,2024-07-24,20:17:00,4,265.48,1061.92,Card,Senior
3,3,37,156,2023-11-13,11:55:00,1,39.15,39.15,Insurance,Adult
4,9,14,71,2023-03-13,09:05:00,2,184.95,369.9,Card,Adult
5,10,39,129,2024-04-09,20:20:00,1,94.15,94.15,Cash,Child
6,5,29,76,2023-06-09,19:05:00,2,322.91,645.82,Insurance,Adult
7,9,8,5,2024-05-12,12:48:00,1,344.28,344.28,Card,Adult
8,5,3,123,2023-04-24,16:33:00,2,174.84,349.68,Cash,Adult
9,3,49,64,2024-09-05,12:49:00,1,284.41,284.41,Card,Adult
10,3,25,79,2023-12-02,15:11:00,1,286.93,286.93,Insurance,Senior
11,2,26,106,2023-08-24,21:22:00,3,173.85,521.55,Insurance,Child
12,7,37,71,2024-03-22,14:36:00,4,184.95,739.8,Card,Senior
13,3,40,86,2024-10-17,09:20:00,1,350.16,350.16,Card,Senior
14,10,26,73,2024-01-06,12:27:00,3,279.3,837.9,Insurance,Child
15,3,5,155,2024-02-10,12:21:00,2,268.26,536.52,Insurance,Senior
16,6,47,102,2023-04-27,21:22:00,1,303.16,303.16,Insurance,Child
17,3,49,73,2023-08-30,11:38:00,1,279.3,279.3,Insurance,Child
18,10,49,197,2023-07-01,16:48:00,2,329.64,659.28,Insurance,Adult
19,6,41,151,2024-11-28,19:39:00,2,348.55,697.1,Card,Child
20,5,38,71,2024-03-26,13:50:00,1,184.95,184.95,Cash,Adult
21,6,19,71,2024-06-03,09:03:00,1,184.95,184.95,Cash,Senior
22,9,48,8,2023-04-03,16:37:00,2,380.26,760.52,Cash,Adult
23,3,4,3,2024-08-08,16:32:00,1,356.61,356.61,Card,Child
24,1,16,164,2023-12-18,19:11:00,1,133.68,133.68,Insurance,Adult
25,5,25,116,2024-03-25,14:23:00,2,350.91,701.82,Card,Adult
26,2,22,15,2024-11-26,19:21:00,2,247.13,494.26,Cash,Senior
27,10,10,93,2024-11-25,19:58:00,1,174.61,174.61,Card,Child
28,7,9,5,2024-08-19,13:41:00,3,344.28,1032.84,Insurance,Senior
29,3,43,133,2023-03-28,21:21:00,1,369.62,369.62,Insurance,Senior
30,9,24,153,2024-12-02,19:27:00,1,388.91,388.91,Cash,Adult
31,4,15,68,2023-11-13,21:31:00,1,334.29,334.29,Cash,Child
32,9,48,132,2023-03-21,17:49:00,2,246.28,492.56,Insurance,Child
33,7,10,137,2024-11-08,11:38:00,2,59.67,119.34,Cash,Child
34,8,3,28,2024-12-10,11:46:00,3,305.62,916.86,Card,Adult
35,8,15,23,2024-11-23,18:18:00,4,202.92,811.68,Insurance,Child
36,10,29,181,2023-11-13,12:23:00,2,120.71,241.42,Card,Adult
37,4,39,107,2024-01-27,11:52:00,1,106.06,106.06,Cash,Adult
38,2,46,12,2023-02-23,17:59:00,3,178.73,536.19,Insurance,Child
39,9,10,72,2023-10-19,16:57:00,1,37.15,37.15,Card,Child
40,1,26,58,2023-08-16,09:26:00,3,42.09,126.27,Insurance,Adult
41,6,7,100,2023-08-30,12:01:00,1,235.69,235.69,Insurance,Senior
42,8,45,56,2023-12-10,13:58:00,1,125.0,125.0,Cash,Senior
43,5,14,92,2024-04-25,10:01:00,1,107.07,107.07,Cash,Senior
44,5,8,107,2024-09-15,13:15:00,1,106.06,106.06,Cash,Child
45,8,39,5,2024-03-05,10:07:00,2,344.28,688.56,Insurance,Child
46,7,1,104,2024-10-09,11:18:00,1,84.02,84.02,Insurance,Adult
47,9,24,111,2023-09-04,19:05:00,1,356.92,356.92,Cash,Senior
48,7,31,114,2024-07-11,17:01:00,5,176.7,883.5,Cash,Senior
49,2,23,172,2024-02-01,09:22:00,1,362.71,362.71,Cash,Senior
50,6,9,20,2024-11-03,20:48:00,2,179.02,358.04,Cash,Adult
51,8,45,128,2024-07-13,21:43:00,2,281.37,562.74,Card,Senior
52,1,19,47,2023-07-06,21:29:00,1,224.21,224.21,Cash,Child
53,7,35,148,2023-07-24,13:32:00,1,221.3,221.3,Card,Adult
54,1,42,33,2023-02-07,14:55:00,1,197.97,197.97,Card,Adult
55,8,25,46,2023-05-08,15:47:00,1,261.05,261.05,Card,Child
56,5,6,27,2024-05-23,21:33:00,1,10.46,10.46,Insurance,Adult
57,5,21,83,2023-03-22,11:34:00,5,111.25,556.25,Cash,Child
58,7,11,9,2023-12-02,18:45:00,1,145.51,145.51,Insurance,Adult
59,7,18,90,2023-12-26,14:39:00,2,101.88,203.76,Insurance,Child
60,3,2,9,2023-03-18,17:51:00,1,145.51,145.51,Cash,Senior
61,6,24,33,2024-11-25,10:15:00,1,197.97,197.97,Card,Senior
62,8,49,8,2023-02-03,14:23:00,2,380.26,760.52,Cash,Senior
63,4,8,106,2023-05-21,19:17:00,1,173.85,173.85,Cash,Senior
64,5,50,103,2023-07-10,17:07:00,1,33.79,33.79,Card,Senior
65,8,13,134,2024-04-01,20:58:00,2,167.18,334.36,Cash,Child
66,6,43,90,2023-03-17,16:05:00,3,101.88,305.64,Card,Senior
67,3,46,110,2023-03-08,13:54:00,1,89.96,89.96,Insurance,Senior
68,4,9,64,2024-10-15,12:07:00,1,284.41,284.41,Cash,Adult
69,9,9,95,2023-01-27,16:51:00,2,373.11,746.22,Insurance,Child
70,9,27,126,2023-03-09,20:30:00,5,219.54,1097.7,Card,Senior
71,8,44,63,2023-03-17,10:28:00,1,90.69,90.69,Insurance,Adult
72,3,50,156,2023-05-12,19:37:00,2,39.15,78.3,Cash,Adult
73,3,20,156,2024-05-29,10:33:00,1,39.15,39.15,Cash,Child
74,5,6,186,2023-11-27,17:57:00,1,69.6,69.6,Card,Child
75,10,35,193,2024-10-12,19:19:00,1,129.63,129.63,Cash,Senior
76,10,47,66,2024-10-18,11:10:00,4,265.48,1061.92,Insurance,Adult
77,10,17,76,2024-07-31,10:02:00,3,322.91,968.73,Insurance,Child
78,9,19,90,2024-08-08,16:56:00,2,101.88,203.76,Insurance,Adult
79,8,5,130,2024-05-09,15:19:00,3,321.64,964.92,Insurance,Child
80,10,10,88,2023-06-11,12:21:00,1,368.08,368.08,Card,Senior
81,6,33,27,2023-11-23,15:08:00,3,10.46,31.38,Insurance,Child
82,3,7,133,2023-11-23,16:15:00,1,369.62,369.62,Cash,Adult
83,6,37,51,2024-01-29,11:52:00,1,316.11,316.11,Insurance,Adult
84,8,20,34,2023-07-14,17:29:00,1,311.34,311.34,Card,Child
85,10,23,191,2023-04-03,12:13:00,2,293.13,586.26,Cash,Child
86,8,19,116,2023-10-16,19:43:00,3,350.91,1052.73,Insurance,Child
87,7,24,98,2023-04-21,20:23:00,3,305.33,915.99,Cash,Adult
88,2,25,110,2023-02-22,17:18:00,1,89.96,89.96,Insurance,Adult
89,2,9,133,2024-07-17,19:39:00,5,369.62,1848.1,Cash,Adult
90,3,13,50,2024-01-18,14:48:00,1,446.76,446.76,Insurance,Senior
91,6,31,116,2024-02-16,11:45:00,1,350.91,350.91,Insurance,Adult
92,10,21,9,2023-06-02,14:59:00,2,145.51,291.02,Cash,Adult
93,9,35,28,2024-09-23,14:32:00,1,305.62,305.62,Card,Senior
94,2,27,137,2024-07-30,14:21:00,3,59.67,179.01,Insurance,Adult
95,10,37,19,2024-12-05,13:41:00,2,320.24,640.48,Cash,Senior
96,10,50,116,2023-02-22,19:46:00,1,350.91,350.91,Card,Child
97,4,2,128,2024-11-28,20:07:00,2,281.37,562.74,Card,Adult
98,10,31,62,2024-03-04,15:32:00,2,79.35,158.7,Insurance,Senior
99,8,34,33,2023-03-05,17:20:00,2,197.97,395.94,Card,Adult
100,5,40,89,2023-06-27,17:22:00,2,102.74,205.48,Card,Child
101,5,46,132,2023-09-10,13:49:00,1,246.28,246.28,Cash,Senior
102,5,19,105,2024-12-22,17:59:00,1,73.97,73.97,Cash,Senior
103,6,50,116,2024-11-23,15:52:00,3,350.91,1052.73,Cash,Adult
104,8,42,134,2023-02-13,14:59:00,2,167.18,334.36,Card,Senior
105,9,45,137,2024-05-05,13:59:00,3,59.67,179.01,Card,Child
106,9,15,8,2023-04-22,12:03:00,2,380.26,760.52,Insurance,Child
107,3,1,62,2023-02-23,16:06:00,1,79.35,79.35,Insurance,Child
108,4,49,17,2024-02-21,16:30:00,3,334.1,1002.3,Card,Adult
109,10,15,9,2023-10-20,10:41:00,3,145.51,436.53,Insurance,Senior
110,1,26,142,2023-02-08,11:59:00,1,7.83,7.83,Card,Child
111,2,22,149,2023-10-24,18:38:00,1,315.17,315.17,Card,Adult
112,9,30,118,2024-10-18,11:54:00,1,121.59,121.59,Card,Child
113,3,1,133,2023-04-26,19:16:00,2,369.62,739.24,Insurance,Adult
114,7,28,105,2023-10-30,11:39:00,2,73.97,147.94,Insurance,Adult
115,6,16,95,2023-03-30,11:30:00,1,373.11,373.11,Cash,Adult
116,10,47,139,2024-01-28,14:19:00,2,239.87,479.74,Insurance,Child
117,2,30,13,2023-09-25,09:42:00,2,315.7,631.4,Card,Child
118,5,45,1,2024-02-20,20:49:00,4,144.7,578.8,Cash,Senior
119,3,30,88,2023-10-30,11:30:00,1,368.08,368.08,Insurance,Senior
120,9,43,93,2024-01-18,16:48:00,2,174.61,349.22,Cash,Child
121,8,34,31,2024-11-27,10:33:00,3,194.31,582.93,Insurance,Adult
122,9,13,146,2023-03-21,17:57:00,1,31.93,31.93,Insurance,Senior
123,4,46,61,2023-06-03,16:07:00,3,94.04,282.12,Insurance,Adult
124,3,33,145,2023-04-04,09:29:00,1,48.62,48.62,Card,Adult
125,1,26,77,2024-07-31,21:19:00,1,238.24,238.24,Card,Child
126,2,35,120,2023-08-12,14:44:00,1,195.5,195.5,Cash,Child
127,7,24,78,2024-04-28,21:08:00,1,234.82,234.82,Card,Adult
128,9,9,89,2024-01-22,19:55:00,2,102.74,205.48,Insurance,Adult
129,4,1,69,2023-05-02,17:08:00,2,236.29,472.58,Cash,Adult
130,4,16,8,2024-04-19,17:24:00,2,380.26,760.52,Card,Adult
131,2,3,127,2023-06-08,20:48:00,4,270.08,1080.32,Insurance,Adult
132,4,5,33,2024-09-21,09:15:00,3,197.97,593.91,Cash,Senior
133,1,26,91,2023-02-04,09:15:00,2,161.52,323.04,Card,Child
134,9,19,128,2024-07-06,09:08:00,3,281.37,844.11,Cash,Senior
135,6,16,133,2024-08-12,19:52:00,2,369.62,739.24,Card,Child
136,9,38,116,2024-11-07,13:03:00,1,350.91,350.91,Insurance,Child
137,7,34,20,2024-10-03,09:22:00,2,179.02,358.04,Card,Senior
138,9,31,85,2024-03-02,11:48:00,1,264.8,264.8,Cash,Child
139,1,36,43,2023-11-04,16:58:00,1,110.04,110.04,Card,Adult
140,6,42,115,2024-07-24,13:13:00,1,363.66,363.66,Cash,Adult
141,5,25,75,2024-01-15,12:03:00,2,318.74,637.48,Insurance,Senior
142,10,47,77,2024-09-09,21:48:00,1,238.24,238.24,Insurance,Senior
143,1,14,112,2023-08-11,14:19:00,3,443.49,1330.47,Cash,Senior
144,10,46,25,2023-05-01,12:44:00,2,179.05,358.1,Cash,Adult
145,9,42,106,2023-09-03,15:29:00,2,173.85,347.7,Card,Adult
146,8,49,98,2023-09-25,16:06:00,3,305.33,915.99,Card,Child
147,3,2,136,2024-01-15,12:47:00,1,68.77,68.77,Card,Senior
148,6,15,107,2024-08-21,11:12:00,1,106.06,106.06,Card,Senior
149,5,49,114,2023-09-09,19:21:00,2,176.7,353.4,Card,Senior
150,6,11,38,2024-10-19,20:50:00,1,459.26,459.26,Cash,Senior
151,1,34,115,2024-07-13,17:41:00,3,363.66,1090.98,Cash,Child
152,4,5,79,2024-11-15,11:53:00,1,286.93,286.93,Insurance,Child
153,10,31,124,2023-01-10,09:39:00,1,290.6,290.6,Insurance,Adult
154,9,47,70,2023-01-17,09:01:00,2,60.82,121.64,Card,Senior
155,3,7,72,2023-10-21,19:27:00,3,37.15,111.45,Cash,Senior
156,6,18,133,2023-06-02,13:52:00,2,369.62,739.24,Card,Child
157,4,20,190,2024-01-18,12:44:00,1,11.38,11.38,Insurance,Child
